"","Adams","Cabot","Kirkland","Mather","Quincy","Leverett","Dunster","Currier","Eliot","Lowell","Pforzheimer","Winthrop"
"1",1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1
"6",1,2,1,1,1,1,1,1,1,1,1,1
"7",1,2,1,1,1,1,1,1,1,1,1,1
"8",1,2,1,1,1,1,1,1,1,1,1,1
"9",1,2,1,1,1,1,1,1,1,1,1,1
"10",1,2,1,1,1,1,1,1,1,1,1,1
"11",1,2,1,1,1,1,1,1,1,1,2,1
"12",1,2,1,1,1,2,1,1,1,1,2,1
"13",1,2,1,1,1,2,1,1,1,1,2,1
"14",1,2,1,1,1,2,1,1,1,1,2,1
"15",1,2,1,1,1,2,1,2,1,1,2,1
"16",1,2,1,1,1,2,1,2,1,1,2,1
"17",1,2,1,1,1,2,1,2,1,1,2,1
"18",1,2,1,2,1,2,1,2,1,1,2,1
"19",1,3,1,2,1,2,1,2,1,1,2,1
"20",1,3,2,2,1,2,1,2,1,1,2,1
"21",2,3,2,2,1,2,1,2,1,1,2,1
"22",2,3,2,2,1,2,1,2,1,1,2,1
"23",2,3,2,2,1,2,1,2,1,1,2,1
"24",2,3,2,2,1,2,1,2,1,1,2,1
"25",2,3,2,2,1,2,1,3,1,1,2,1
"26",2,3,2,2,1,2,1,3,1,1,2,1
"27",2,3,2,2,1,2,1,3,1,1,2,1
"28",2,3,2,2,1,2,1,3,1,1,2,1
"29",2,3,2,2,2,2,1,3,1,1,2,1
"30",2,3,2,2,2,2,1,3,1,1,2,1
"31",2,3,2,2,2,2,1,3,1,1,2,1
"32",2,3,2,2,2,2,1,3,1,1,3,1
"33",2,3,2,3,2,2,1,3,1,1,3,1
"34",2,3,2,3,2,3,1,3,1,1,3,1
"35",2,4,2,3,2,3,1,3,1,1,3,1
"36",3,4,2,3,2,3,1,3,1,1,3,1
"37",3,4,2,3,2,3,1,3,1,1,3,1
"38",3,4,2,3,2,3,1,3,2,1,3,1
"39",3,4,3,3,2,3,1,3,2,1,3,1
"40",3,4,3,3,2,3,1,3,2,1,3,1
